GeneID	GeneSymbol	log2fc	pvalue	padj
ENSMUSG00000000001.4	Gnai3	0.0880449271823012	0.192560913422595	0.614673183096996
ENSMUSG00000000003.15	Pbsn	NA	NA	NA
ENSMUSG00000000028.15	Cdc45	-0.321066352170468	0.14011273471438	0.533143704857765
ENSMUSG00000000031.16	H19	-1.20339888838016	0.716146435731325	NA
ENSMUSG00000000037.17	Scml2	-0.577464260817217	0.297915945728476	NA
ENSMUSG00000000049.11	Apoh	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000000056.7	Narf	-0.0115859124435731	0.915923285952505	0.983625024613099
ENSMUSG00000000058.6	Cav2	0.0571991609350891	0.639027035835447	0.907858751340224
ENSMUSG00000000078.7	Klf6	0.0416391468142748	0.509894607577315	0.854301444617569
ENSMUSG00000000085.16	Scmh1	0.0130270737476818	0.885850609110659	0.977743410338431
ENSMUSG00000000088.7	Cox5a	-0.174971867483057	0.00241755422036342	0.04527896889097
ENSMUSG00000000093.6	Tbx2	0.2117737969726	0.719780340635786	NA
ENSMUSG00000000094.12	Tbx4	1.49311461400811	0.65488198916634	NA
ENSMUSG00000000103.12	Zfy2	NA	NA	NA
ENSMUSG00000000120.6	Ngfr	0.501796305517832	0.0520664732740641	0.323981242821682
ENSMUSG00000000125.5	Wnt3	0.672078002778874	0.841111315468519	NA
ENSMUSG00000000126.11	Wnt9a	0.490785241405556	0.156222764055375	0.55973780475741
ENSMUSG00000000127.15	Fer	0.0776989225357031	0.271525803489994	0.702651474886318
ENSMUSG00000000131.15	Xpo6	0.111601347212451	0.0718245650999437	0.384699505913322
ENSMUSG00000000134.17	Tfe3	-0.126290583329499	0.0453503963193835	0.303038423732777
ENSMUSG00000000142.15	Axin2	0.756197566205526	0.00231213359766391	0.0436951536208005
ENSMUSG00000000148.17	Brat1	0.0329151759481346	0.741230909193637	0.940812816628413
ENSMUSG00000000149.10	Gna12	-0.119434403430522	0.230396421864711	0.658735647400322
ENSMUSG00000000154.16	Slc22a18	0.136452549329233	0.338598824948533	0.75484729319902
